C:\Users\Kingsley E. Nweye\Documents\eQUEST 3-65 Projects\Project 3\Project 3 - Baseline Design
Simulated:  2020-Nov-09 06:38:36
CSV Written:  2020-Nov-09 06:38:36
eQUEST 3.65.7175
,,,,"Hourly Report",,,,,,,,,,,,,,,
,,,,"EM1 Hourly Report Block",,"FM1 Hourly Report Block",,,,,,,,,,,,,
,,,,"EXTERIOR-WALL",,"FUEL-METER",,,,,,,,,,,,,
,,,,"EL1 Roof (T.16.E17)",,"FM1",,,,,,,,,,,,,
,,,Day,"Var 1","Var 19","Var 1","Var 2","Var 3","Var 4","Var 5","Var 6","Var 7","Var 8","Var 9","Var 10","Var 11","Var 12","Var 20",
Month,Day,Hour,Type,"Total solar rad on wall after shading (Btu/Hr-Ft2)","Surface total solar radiation (Btu/hr-ft2)","Lighting end-use energy","Task lighting end-use energy","Miscellaneous equipment end-use energy","Heating end-use energy","Cooling end-use energy","Heat rejection end-use energy","Auxiliary end-use energy (pumps)","Vent fan end-use energy","Refrigeration systems end-use energy","Supplemental heat pump end-use energy","Domestic hot water end-use energy","Exterior to the building end-use energy","Total end-use energy",
1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,443.297,0,443.297,
1,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,443.688,0,443.688,
1,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,444.232,0,444.232,
1,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,444.854,0,444.854,
1,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,445.395,0,445.395,
1,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,445.952,0,445.952,
1,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,446.457,0,446.457,
1,1,8,8,1.17889,0,0,0,0,0,0,0,0,0,0,0,446.966,0,446.966,
1,1,9,8,25.5758,0,0,0,0,0,0,0,0,0,0,0,447.426,0,447.426,
1,1,10,8,43.6628,0,0,0,0,0,0,0,0,0,0,0,447.793,0,447.793,
1,1,11,8,56.063,0,0,0,0,0,0,0,0,0,0,0,448.14,0,448.14,
1,1,12,8,49.9738,0,0,0,0,0,0,0,0,0,0,0,448.066,0,448.066,
1,1,13,8,50.2028,0,0,0,0,0,0,0,0,0,0,0,447.867,0,447.867,
1,1,14,8,31.8766,0,0,0,0,0,0,0,0,0,0,0,447.652,0,447.652,
1,1,15,8,17.6751,0,0,0,0,0,0,0,0,0,0,0,447.465,0,447.465,
1,1,16,8,9.8208,0,0,0,0,0,0,0,0,0,0,0,447.15,0,447.15,
1,1,17,8,0,0,0,0,0,0,0,0,0,0,0,0,447.128,0,447.128,
1,1,18,8,0,0,0,0,0,0,0,0,0,0,0,0,447.157,0,447.157,
1,1,19,8,0,0,0,0,0,0,0,0,0,0,0,0,447.196,0,447.196,
1,1,20,8,0,0,0,0,0,0,0,0,0,0,0,0,447.329,0,447.329,
1,1,21,8,0,0,0,0,0,0,0,0,0,0,0,0,447.407,0,447.407,
1,1,22,8,0,0,0,0,0,0,0,0,0,0,0,0,447.457,0,447.457,
1,1,23,8,0,0,0,0,0,0,0,0,0,0,0,0,447.435,0,447.435,
1,1,24,8,0,0,0,0,0,0,0,0,0,0,0,0,447.462,0,447.462,
1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,781.331,0,781.331,
1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,781.346,0,781.346,
1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,781.218,0,781.218,
1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,781.126,0,781.126,
1,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,781.027,0,781.027,
1,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,781.028,0,781.028,
1,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1267.58,0,1267.58,
1,2,8,4,0,0,0,0,0,1.50655e+006,0,0,0,0,0,0,5078.63,0,1.51163e+006,
1,2,9,4,7.85084,0,0,0,0,853358,0,0,0,0,0,0,5078.29,0,858437,
1,2,10,4,55.8802,0,0,0,0,587319,0,0,0,0,0,0,8866.97,0,596186,
1,2,11,4,111.404,0,0,0,0,434741,0,0,0,0,0,0,8857.63,0,443599,
1,2,12,4,26.6146,0,0,0,0,424272,0,0,0,0,0,0,8854.24,0,433127,
1,2,13,4,25.5945,0,0,0,0,376509,0,0,0,0,0,0,8852.05,0,385361,
1,2,14,4,17.5569,0,0,0,0,337096,0,0,0,0,0,0,8850.41,0,345947,
1,2,15,4,12.6908,0,0,0,0,297429,0,0,0,0,0,0,8848.95,0,306278,
1,2,16,4,4.91838,0,0,0,0,263755,0,0,0,0,0,0,6901.49,0,270656,
1,2,17,4,0,0,0,0,0,242254,0,0,0,0,0,0,5035.21,0,247290,
1,2,18,4,0,0,0,0,0,258867,0,0,0,0,0,0,3087.95,0,261955,
1,2,19,4,0,0,0,0,0,0,0,0,0,0,0,0,2194.9,0,2194.9,
1,2,20,4,0,0,0,0,0,0,0,0,0,0,0,0,2193.91,0,2193.91,
1,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,2196.6,0,2196.6,
1,2,22,4,0,0,0,0,0,0,0,0,0,0,0,0,738.316,0,738.316,
1,2,23,4,0,0,0,0,0,0,0,0,0,0,0,0,739.567,0,739.567,
1,2,24,4,0,0,0,0,0,0,0,0,0,0,0,0,740.166,0,740.166,
1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,740.745,0,740.745,
1,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,741.14,0,741.14,
1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,741.478,0,741.478,
1,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,741.794,0,741.794,
1,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,742.094,0,742.094,
1,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,742.417,0,742.417,
1,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1229.23,0,1229.23,
1,3,8,5,1.27123,0,0,0,0,717260,0,0,0,0,0,0,5040.57,0,722300,
1,3,9,5,25.7984,0,0,0,0,353377,0,0,0,0,0,0,5040.47,0,358417,
1,3,10,5,75.2539,0,0,0,0,223612,0,0,0,0,0,0,8841.7,0,232453,
1,3,11,5,29.7734,0,0,0,0,231140,0,0,0,0,0,0,8838.49,0,239978,
1,3,12,5,54.5818,0,0,0,0,208650,0,0,0,0,0,0,8836.99,0,217487,
1,3,13,5,20.5087,0,0,0,0,210670,0,0,0,0,0,0,8836.1,0,219506,
1,3,14,5,17.5548,0,0,0,0,191805,0,0,0,0,0,0,8835.42,0,200641,
1,3,15,5,16.6698,0,0,0,0,198178,0,0,0,0,0,0,8834.79,0,207012,
1,3,16,5,4.91758,0,0,0,0,198665,0,0,0,0,0,0,6888.08,0,205554,
1,3,17,5,0,0,0,0,0,230514,0,0,0,0,0,0,5022.54,0,235536,
1,3,18,5,0,0,0,0,0,292964,0,0,0,0,0,0,3076.01,0,296040,
1,3,19,5,0,0,0,0,0,0,0,0,0,0,0,0,2183.69,0,2183.69,
1,3,20,5,0,0,0,0,0,0,0,0,0,0,0,0,2183.42,0,2183.42,
1,3,21,5,0,0,0,0,0,0,0,0,0,0,0,0,2184.12,0,2184.12,
1,3,22,5,0,0,0,0,0,0,0,0,0,0,0,0,726.628,0,726.628,
1,3,23,5,0,0,0,0,0,0,0,0,0,0,0,0,727.737,0,727.737,
1,3,24,5,0,0,0,0,0,0,0,0,0,0,0,0,728.993,0,728.993,
1,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,396.131,0,396.131,
1,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,397.121,0,397.121,
1,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,398.096,0,398.096,
1,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,398.93,0,398.93,
1,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,399.789,0,399.789,
1,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,400.604,0,400.604,
1,4,7,6,0,0,0,0,0,0,0,0,0,0,0,0,401.357,0,401.357,
1,4,8,6,0,0,0,0,0,0,0,0,0,0,0,0,402.035,0,402.035,
1,4,9,6,7.8513,0,0,0,0,0,0,0,0,0,0,0,402.724,0,402.724,
1,4,10,6,12.6676,0,0,0,0,0,0,0,0,0,0,0,403.411,0,403.411,
1,4,11,6,17.5405,0,0,0,0,0,0,0,0,0,0,0,404.108,0,404.108,
1,4,12,6,20.5045,0,0,0,0,0,0,0,0,0,0,0,404.715,0,404.715,
1,4,13,6,20.507,0,0,0,0,0,0,0,0,0,0,0,405.315,0,405.315,
1,4,14,6,17.5527,0,0,0,0,0,0,0,0,0,0,0,405.815,0,405.815,
1,4,15,6,12.6865,0,0,0,0,0,0,0,0,0,0,0,406.271,0,406.271,
1,4,16,6,4.91676,0,0,0,0,0,0,0,0,0,0,0,406.791,0,406.791,
1,4,17,6,0,0,0,0,0,0,0,0,0,0,0,0,407.242,0,407.242,
1,4,18,6,0,0,0,0,0,0,0,0,0,0,0,0,407.983,0,407.983,
1,4,19,6,0,0,0,0,0,0,0,0,0,0,0,0,408.719,0,408.719,
1,4,20,6,0,0,0,0,0,0,0,0,0,0,0,0,409.587,0,409.587,
1,4,21,6,0,0,0,0,0,0,0,0,0,0,0,0,410.418,0,410.418,
1,4,22,6,0,0,0,0,0,0,0,0,0,0,0,0,411.253,0,411.253,
1,4,23,6,0,0,0,0,0,0,0,0,0,0,0,0,412.067,0,412.067,
1,4,24,6,0,0,0,0,0,0,0,0,0,0,0,0,412.85,0,412.85,
1,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,413.624,0,413.624,
1,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,414.384,0,414.384,
1,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,415.142,0,415.142,
1,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,415.882,0,415.882,
1,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,416.603,0,416.603,
1,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,417.351,0,417.351,
1,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,418.175,0,418.175,
1,5,8,7,1.00021,0,0,0,0,0,0,0,0,0,0,0,419.019,0,419.019,
1,5,9,7,18.6653,0,0,0,0,0,0,0,0,0,0,0,419.832,0,419.832,
1,5,10,7,35.0491,0,0,0,0,0,0,0,0,0,0,0,420.72,0,420.72,
1,5,11,7,150.183,0,0,0,0,0,0,0,0,0,0,0,421.586,0,421.586,
1,5,12,7,178.035,0,0,0,0,0,0,0,0,0,0,0,422.341,0,422.341,
1,5,13,7,171.361,0,0,0,0,0,0,0,0,0,0,0,422.935,0,422.935,
1,5,14,7,36.0564,0,0,0,0,0,0,0,0,0,0,0,421.973,0,421.973,
1,5,15,7,102.728,0,0,0,0,0,0,0,0,0,0,0,421.704,0,421.704,
1,5,16,7,53.7085,0,0,0,0,0,0,0,0,0,0,0,421.173,0,421.173,
1,5,17,7,0,0,0,0,0,0,0,0,0,0,0,0,422.327,0,422.327,
1,5,18,7,0,0,0,0,0,0,0,0,0,0,0,0,421.763,0,421.763,
1,5,19,7,0,0,0,0,0,0,0,0,0,0,0,0,422.432,0,422.432,
1,5,20,7,0,0,0,0,0,0,0,0,0,0,0,0,423.9,0,423.9,
1,5,21,7,0,0,0,0,0,0,0,0,0,0,0,0,425.06,0,425.06,
1,5,22,7,0,0,0,0,0,0,0,0,0,0,0,0,426.362,0,426.362,
1,5,23,7,0,0,0,0,0,0,0,0,0,0,0,0,427.651,0,427.651,
1,5,24,7,0,0,0,0,0,0,0,0,0,0,0,0,428.959,0,428.959,
1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,764.097,0,764.097,
1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,765.372,0,765.372,
1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,766.61,0,766.61,
1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,767.828,0,767.828,
1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,769.135,0,769.135,
1,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,770.38,0,770.38,
1,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1258.17,0,1258.17,
1,6,8,1,6.4298,0,0,0,0,1.67057e+006,0,0,0,0,0,0,5070.4,0,1.67564e+006,
1,6,9,1,66.8084,0,0,0,0,1.10365e+006,0,0,0,0,0,0,5071.2,0,1.10873e+006,
1,6,10,1,119.198,0,0,0,0,820044,0,0,0,0,0,0,8863.42,0,828908,
1,6,11,1,158.259,0,0,0,0,713476,0,0,0,0,0,0,8851.55,0,722327,
1,6,12,1,177.752,0,0,0,0,660025,0,0,0,0,0,0,8848.38,0,668873,
1,6,13,1,176.687,0,0,0,0,601632,0,0,0,0,0,0,8846.58,0,610478,
1,6,14,1,154.505,0,0,0,0,538216,0,0,0,0,0,0,8845.32,0,547061,
1,6,15,1,105.971,0,0,0,0,490208,0,0,0,0,0,0,8844.23,0,499052,
1,6,16,1,53.6295,0,0,0,0,496300,0,0,0,0,0,0,6897.1,0,503197,
1,6,17,1,0,0,0,0,0,558727,0,0,0,0,0,0,5031.04,0,563758,
1,6,18,1,0,0,0,0,0,606682,0,0,0,0,0,0,3084.17,0,609766,
1,6,19,1,0,0,0,0,0,0,0,0,0,0,0,0,2191.5,0,2191.5,
1,6,20,1,0,0,0,0,0,0,0,0,0,0,0,0,2190.93,0,2190.93,
1,6,21,1,0,0,0,0,0,0,0,0,0,0,0,0,2193.65,0,2193.65,
1,6,22,1,0,0,0,0,0,0,0,0,0,0,0,0,738.413,0,738.413,
1,6,23,1,0,0,0,0,0,0,0,0,0,0,0,0,740.892,0,740.892,
1,6,24,1,0,0,0,0,0,0,0,0,0,0,0,0,743.293,0,743.293,
1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,745.14,0,745.14,
1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,746.761,0,746.761,
1,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,748.192,0,748.192,
1,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,749.534,0,749.534,
1,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,750.802,0,750.802,
1,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,752.005,0,752.005,
1,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1239.7,0,1239.7,
1,7,8,2,6.56743,0,0,0,0,1.35491e+006,0,0,0,0,0,0,5051.8,0,1.35996e+006,
1,7,9,2,66.7596,0,0,0,0,734776,0,0,0,0,0,0,5052.55,0,739828,
1,7,10,2,123.221,0,0,0,0,543268,0,0,0,0,0,0,8847.62,0,552116,
1,7,11,2,154.911,0,0,0,0,479823,0,0,0,0,0,0,8842.31,0,488665,
1,7,12,2,180.418,0,0,0,0,431680,0,0,0,0,0,0,8840.12,0,440520,
1,7,13,2,173.611,0,0,0,0,384581,0,0,0,0,0,0,8839.03,0,393420,
1,7,14,2,63.3009,0,0,0,0,377618,0,0,0,0,0,0,8838.16,0,386456,
1,7,15,2,99.4199,0,0,0,0,316454,0,0,0,0,0,0,8837.34,0,325291,
1,7,16,2,53.1971,0,0,0,0,296165,0,0,0,0,0,0,6890.45,0,303055,
1,7,17,2,0,0,0,0,0,381714,0,0,0,0,0,0,5024.87,0,386739,
1,7,18,2,0,0,0,0,0,439945,0,0,0,0,0,0,3078.2,0,443023,
1,7,19,2,0,0,0,0,0,0,0,0,0,0,0,0,2185.81,0,2185.81,
1,7,20,2,0,0,0,0,0,0,0,0,0,0,0,0,2185.51,0,2185.51,
1,7,21,2,0,0,0,0,0,0,0,0,0,0,0,0,2186.9,0,2186.9,
1,7,22,2,0,0,0,0,0,0,0,0,0,0,0,0,730.375,0,730.375,
1,7,23,2,0,0,0,0,0,0,0,0,0,0,0,0,732.024,0,732.024,
1,7,24,2,0,0,0,0,0,0,0,0,0,0,0,0,733.706,0,733.706,
1,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,734.932,0,734.932,
1,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,736.156,0,736.156,
1,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,737.11,0,737.11,
1,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,738.002,0,738.002,
1,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,738.841,0,738.841,
1,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,739.633,0,739.633,
1,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1226.91,0,1226.91,
1,8,8,3,4.30391,0,0,0,0,910769,0,0,0,0,0,0,5038.6,0,915808,
1,8,9,3,58.1869,0,0,0,0,458666,0,0,0,0,0,0,5038.91,0,463705,
1,8,10,3,52.0053,0,0,0,0,355656,0,0,0,0,0,0,8839.43,0,364495,
1,8,11,3,80.1664,0,0,0,0,296329,0,0,0,0,0,0,8835.85,0,305165,
1,8,12,3,47.686,0,0,0,0,307054,0,0,0,0,0,0,8834.36,0,315889,
1,8,13,3,82.2257,0,0,0,0,258316,0,0,0,0,0,0,8833.63,0,267149,
1,8,14,3,104.355,0,0,0,0,210813,0,0,0,0,0,0,8833.07,0,219646,
1,8,15,3,54.8702,0,0,0,0,196681,0,0,0,0,0,0,8832.57,0,205514,
1,8,16,3,10.8011,0,0,0,0,234541,0,0,0,0,0,0,6885.98,0,241427,
1,8,17,3,0,0,0,0,0,258665,0,0,0,0,0,0,5020.42,0,263686,
1,8,18,3,0,0,0,0,0,306539,0,0,0,0,0,0,3074.03,0,309613,
1,8,19,3,0,0,0,0,0,0,0,0,0,0,0,0,2181.83,0,2181.83,
1,8,20,3,0,0,0,0,0,0,0,0,0,0,0,0,2181.65,0,2181.65,
1,8,21,3,0,0,0,0,0,0,0,0,0,0,0,0,2182.13,0,2182.13,
1,8,22,3,0,0,0,0,0,0,0,0,0,0,0,0,724.901,0,724.901,
1,8,23,3,0,0,0,0,0,0,0,0,0,0,0,0,726.109,0,726.109,
1,8,24,3,0,0,0,0,0,0,0,0,0,0,0,0,727.572,0,727.572,
1,9,1,4,0,0,0,0,0,0,0,0,0,0,0,0,728.705,0,728.705,
1,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,729.762,0,729.762,
1,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,730.676,0,730.676,
1,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,731.615,0,731.615,
1,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,732.483,0,732.483,
1,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,733.35,0,733.35,
1,9,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1220.75,0,1220.75,
1,9,8,4,4.29283,0,0,0,0,800653,0,0,0,0,0,0,5032.54,0,805685,
1,9,9,4,57.9203,0,0,0,0,421313,0,0,0,0,0,0,5032.95,0,426346,
1,9,10,4,35.0358,0,0,0,0,362155,0,0,0,0,0,0,8835.66,0,370991,
1,9,11,4,56.1267,0,0,0,0,334436,0,0,0,0,0,0,8832.63,0,343269,
1,9,12,4,175.075,0,0,0,0,268907,0,0,0,0,0,0,8831.47,0,277738,
1,9,13,4,176.123,0,0,0,0,245186,0,0,0,0,0,0,8830.98,0,254017,
1,9,14,4,113.638,0,0,0,0,205757,0,0,0,0,0,0,8830.6,0,214587,
1,9,15,4,105.88,0,0,0,0,174559,0,0,0,0,0,0,8830.14,0,183390,
1,9,16,4,16.9473,0,0,0,0,210889,0,0,0,0,0,0,6883.55,0,217773,
1,9,17,4,2.41808,0,0,0,0,262938,0,0,0,0,0,0,5018.16,0,267956,
1,9,18,4,0,0,0,0,0,323698,0,0,0,0,0,0,3071.79,0,326770,
1,9,19,4,0,0,0,0,0,0,0,0,0,0,0,0,2179.89,0,2179.89,
1,9,20,4,0,0,0,0,0,0,0,0,0,0,0,0,2179.84,0,2179.84,
1,9,21,4,0,0,0,0,0,0,0,0,0,0,0,0,2180.09,0,2180.09,
1,9,22,4,0,0,0,0,0,0,0,0,0,0,0,0,722.918,0,722.918,
1,9,23,4,0,0,0,0,0,0,0,0,0,0,0,0,724.201,0,724.201,
1,9,24,4,0,0,0,0,0,0,0,0,0,0,0,0,725.765,0,725.765,
1,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,727.036,0,727.036,
1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,728.251,0,728.251,
1,10,3,5,0,0,0,0,0,0,0,0,0,0,0,0,729.409,0,729.409,
1,10,4,5,0,0,0,0,0,0,0,0,0,0,0,0,730.471,0,730.471,
1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,731.468,0,731.468,
1,10,6,5,0,0,0,0,0,0,0,0,0,0,0,0,732.456,0,732.456,
1,10,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1219.93,0,1219.93,
1,10,8,5,1.67153,0,0,0,0,852826,0,0,0,0,0,0,5031.88,0,857857,
1,10,9,5,32.3618,0,0,0,0,479251,0,0,0,0,0,0,5032.38,0,484284,
1,10,10,5,66.067,0,0,0,0,366260,0,0,0,0,0,0,8835.07,0,375095,
1,10,11,5,87.3825,0,0,0,0,327737,0,0,0,0,0,0,8831.97,0,336568,
1,10,12,5,99.5101,0,0,0,0,302463,0,0,0,0,0,0,8830.84,0,311294,
1,10,13,5,100.822,0,0,0,0,275175,0,0,0,0,0,0,8830.34,0,284005,
1,10,14,5,85.0333,0,0,0,0,243935,0,0,0,0,0,0,8829.98,0,252765,
1,10,15,5,59.3024,0,0,0,0,220771,0,0,0,0,0,0,8829.63,0,229600,
1,10,16,5,28.5341,0,0,0,0,231769,0,0,0,0,0,0,6883.21,0,238652,
1,10,17,5,1.66436,0,0,0,0,265040,0,0,0,0,0,0,5017.83,0,270058,
1,10,18,5,0,0,0,0,0,311914,0,0,0,0,0,0,3071.57,0,314986,
1,10,19,5,0,0,0,0,0,0,0,0,0,0,0,0,2179.47,0,2179.47,
1,10,20,5,0,0,0,0,0,0,0,0,0,0,0,0,2179.38,0,2179.38,
1,10,21,5,0,0,0,0,0,0,0,0,0,0,0,0,2179.56,0,2179.56,
1,10,22,5,0,0,0,0,0,0,0,0,0,0,0,0,722.435,0,722.435,
1,10,23,5,0,0,0,0,0,0,0,0,0,0,0,0,723.558,0,723.558,
1,10,24,5,0,0,0,0,0,0,0,0,0,0,0,0,725.042,0,725.042,
1,11,1,6,0,0,0,0,0,0,0,0,0,0,0,0,392.281,0,392.281,
1,11,2,6,0,0,0,0,0,0,0,0,0,0,0,0,393.413,0,393.413,
1,11,3,6,0,0,0,0,0,0,0,0,0,0,0,0,394.479,0,394.479,
1,11,4,6,0,0,0,0,0,0,0,0,0,0,0,0,395.511,0,395.511,
1,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,396.441,0,396.441,
1,11,6,6,0,0,0,0,0,0,0,0,0,0,0,0,397.363,0,397.363,
1,11,7,6,0,0,0,0,0,0,0,0,0,0,0,0,398.264,0,398.264,
1,11,8,6,1.56816,0,0,0,0,0,0,0,0,0,0,0,399.131,0,399.131,
1,11,9,6,32.1271,0,0,0,0,0,0,0,0,0,0,0,400.013,0,400.013,
1,11,10,6,66.0589,0,0,0,0,0,0,0,0,0,0,0,400.885,0,400.885,
1,11,11,6,89.8783,0,0,0,0,0,0,0,0,0,0,0,401.68,0,401.68,
1,11,12,6,101.9,0,0,0,0,0,0,0,0,0,0,0,402.059,0,402.059,
1,11,13,6,100.707,0,0,0,0,0,0,0,0,0,0,0,402.116,0,402.116,
1,11,14,6,87.5272,0,0,0,0,0,0,0,0,0,0,0,402.225,0,402.225,
1,11,15,6,62.5521,0,0,0,0,0,0,0,0,0,0,0,402.099,0,402.099,
1,11,16,6,27.9845,0,0,0,0,0,0,0,0,0,0,0,402.075,0,402.075,
1,11,17,6,1.25519,0,0,0,0,0,0,0,0,0,0,0,402.13,0,402.13,
1,11,18,6,0,0,0,0,0,0,0,0,0,0,0,0,402.324,0,402.324,
1,11,19,6,0,0,0,0,0,0,0,0,0,0,0,0,402.819,0,402.819,
1,11,20,6,0,0,0,0,0,0,0,0,0,0,0,0,403.612,0,403.612,
1,11,21,6,0,0,0,0,0,0,0,0,0,0,0,0,404.38,0,404.38,
1,11,22,6,0,0,0,0,0,0,0,0,0,0,0,0,405.12,0,405.12,
1,11,23,6,0,0,0,0,0,0,0,0,0,0,0,0,405.826,0,405.826,
1,11,24,6,0,0,0,0,0,0,0,0,0,0,0,0,406.493,0,406.493,
1,12,1,7,0,0,0,0,0,0,0,0,0,0,0,0,407.139,0,407.139,
1,12,2,7,0,0,0,0,0,0,0,0,0,0,0,0,407.659,0,407.659,
1,12,3,7,0,0,0,0,0,0,0,0,0,0,0,0,408.2,0,408.2,
1,12,4,7,0,0,0,0,0,0,0,0,0,0,0,0,408.721,0,408.721,
1,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,409.258,0,409.258,
1,12,6,7,0,0,0,0,0,0,0,0,0,0,0,0,409.793,0,409.793,
1,12,7,7,0,0,0,0,0,0,0,0,0,0,0,0,410.412,0,410.412,
1,12,8,7,1.56492,0,0,0,0,0,0,0,0,0,0,0,411.014,0,411.014,
1,12,9,7,32.123,0,0,0,0,0,0,0,0,0,0,0,411.753,0,411.753,
1,12,10,7,65.096,0,0,0,0,0,0,0,0,0,0,0,412.396,0,412.396,
