C:\Users\Kingsley E. Nweye\Documents\eQUEST 3-65 Projects\Project 3\Project 3 - Baseline Design,,,,,,,,,,,,,,,,,,
Simulated:  2020-Nov-09 07:20:10,,,,,,,,,,,,,,,,,,
CSV Written:  2020-Nov-09 07:20:10,,,,,,,,,,,,,,,,,,
eQUEST 3.65.7175,,,,,,,,,,,,,,,,,,
,,,,Hourly Report,,,,,,,,,,,,,,
,,,,EM1 Hourly Report Block,,FM1 Hourly Report Block,,,,,,,,,,,,
,,,,EXTERIOR-WALL,,FUEL-METER,,,,,,,,,,,,
,,,,EL1 Roof (T.16.E17),,FM1,,,,,,,,,,,,
,,,Day,Var 1,Var 19,Var 1,Var 2,Var 3,Var 4,Var 5,Var 6,Var 7,Var 8,Var 9,Var 10,Var 11,Var 12,Var 20
Month,Day,Hour,Type,Total solar rad on wall after shading (Btu/Hr-Ft2),Surface total solar radiation (Btu/hr-ft2),Lighting end-use energy,Task lighting end-use energy,Miscellaneous equipment end-use energy,Heating end-use energy,Cooling end-use energy,Heat rejection end-use energy,Auxiliary end-use energy (pumps),Vent fan end-use energy,Refrigeration systems end-use energy,Supplemental heat pump end-use energy,Domestic hot water end-use energy,Exterior to the building end-use energy,Total end-use energy
1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,443.375,0,443.375
1,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,443.767,0,443.767
1,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,444.313,0,444.313
1,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,444.94,0,444.94
1,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,445.489,0,445.489
1,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,446.047,0,446.047
1,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,446.555,0,446.555
1,1,8,8,1.71552,0,0,0,0,0,0,0,0,0,0,0,447.064,0,447.064
1,1,9,8,29.0379,0,0,0,0,0,0,0,0,0,0,0,447.524,0,447.524
1,1,10,8,47.3876,0,0,0,0,0,0,0,0,0,0,0,447.891,0,447.891
1,1,11,8,60.346,0,0,0,0,0,0,0,0,0,0,0,448.236,0,448.236
1,1,12,8,49.8269,0,0,0,0,0,0,0,0,0,0,0,448.161,0,448.161
1,1,13,8,50.5042,0,0,0,0,0,0,0,0,0,0,0,447.961,0,447.961
1,1,14,8,30.6232,0,0,0,0,0,0,0,0,0,0,0,447.744,0,447.744
1,1,15,8,16.4077,0,0,0,0,0,0,0,0,0,0,0,447.557,0,447.557
1,1,16,8,9.04065,0,0,0,0,0,0,0,0,0,0,0,447.242,0,447.242
1,1,17,8,0,0,0,0,0,0,0,0,0,0,0,0,447.22,0,447.22
1,1,18,8,0,0,0,0,0,0,0,0,0,0,0,0,447.248,0,447.248
1,1,19,8,0,0,0,0,0,0,0,0,0,0,0,0,447.287,0,447.287
1,1,20,8,0,0,0,0,0,0,0,0,0,0,0,0,447.417,0,447.417
1,1,21,8,0,0,0,0,0,0,0,0,0,0,0,0,447.493,0,447.493
1,1,22,8,0,0,0,0,0,0,0,0,0,0,0,0,447.54,0,447.54
1,1,23,8,0,0,0,0,0,0,0,0,0,0,0,0,447.515,0,447.515
1,1,24,8,0,0,0,0,0,0,0,0,0,0,0,0,447.538,0,447.538
1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,781.403,0,781.403
1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,781.414,0,781.414
1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,781.282,0,781.282
1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,781.187,0,781.187
1,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,781.085,0,781.085
1,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,781.084,0,781.084
1,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1267.64,0,1267.64
1,2,8,4,0,0,0,0,0,1.51E+06,0,0,0,0,0,0,5078.69,0,1.51E+06
1,2,9,4,7.02831,0,0,0,0,854124,0,0,0,0,0,0,5078.35,0,859202
1,2,10,4,68.7291,0,0,0,0,587796,0,0,0,0,0,0,8867.03,0,596663
1,2,11,4,142.803,0,0,0,0,435075,0,0,0,0,0,0,8857.66,0,443932
1,2,12,4,24.9059,0,0,0,0,424638,0,0,0,0,0,0,8854.28,0,433492
1,2,13,4,23.8896,0,0,0,0,376832,0,0,0,0,0,0,8852.08,0,385684
1,2,14,4,16.0383,0,0,0,0,337507,0,0,0,0,0,0,8850.44,0,346357
1,2,15,4,11.4784,0,0,0,0,297795,0,0,0,0,0,0,8848.98,0,306644
1,2,16,4,4.32003,0,0,0,0,264118,0,0,0,0,0,0,6901.51,0,271019
1,2,17,4,0,0,0,0,0,242579,0,0,0,0,0,0,5035.23,0,247614
1,2,18,4,0,0,0,0,0,259116,0,0,0,0,0,0,3087.98,0,262204
1,2,19,4,0,0,0,0,0,0,0,0,0,0,0,0,2194.92,0,2194.92
1,2,20,4,0,0,0,0,0,0,0,0,0,0,0,0,2193.93,0,2193.93
1,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,2196.63,0,2196.63
1,2,22,4,0,0,0,0,0,0,0,0,0,0,0,0,738.339,0,738.339
1,2,23,4,0,0,0,0,0,0,0,0,0,0,0,0,739.589,0,739.589
1,2,24,4,0,0,0,0,0,0,0,0,0,0,0,0,740.188,0,740.188
1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,740.766,0,740.766
1,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,741.162,0,741.162
1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,741.501,0,741.501
1,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,741.82,0,741.82
1,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,742.123,0,742.123
1,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,742.451,0,742.451
1,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1229.27,0,1229.27
1,3,8,5,2.09345,0,0,0,0,719172,0,0,0,0,0,0,5040.62,0,724213
1,3,9,5,29.5388,0,0,0,0,354672,0,0,0,0,0,0,5040.52,0,359712
1,3,10,5,99.7061,0,0,0,0,224649,0,0,0,0,0,0,8841.73,0,233490
1,3,11,5,28.3164,0,0,0,0,232248,0,0,0,0,0,0,8838.51,0,241087
1,3,12,5,57.1561,0,0,0,0,209706,0,0,0,0,0,0,8837.01,0,218543
1,3,13,5,18.841,0,0,0,0,211820,0,0,0,0,0,0,8836.12,0,220657
1,3,14,5,16.034,0,0,0,0,192963,0,0,0,0,0,0,8835.44,0,201799
1,3,15,5,15.3818,0,0,0,0,199300,0,0,0,0,0,0,8834.8,0,208135
1,3,16,5,4.31761,0,0,0,0,199864,0,0,0,0,0,0,6888.1,0,206752
1,3,17,5,0,0,0,0,0,231733,0,0,0,0,0,0,5022.55,0,236756
1,3,18,5,0,0,0,0,0,294271,0,0,0,0,0,0,3076.03,0,297347
1,3,19,5,0,0,0,0,0,0,0,0,0,0,0,0,2183.71,0,2183.71
1,3,20,5,0,0,0,0,0,0,0,0,0,0,0,0,2183.43,0,2183.43
1,3,21,5,0,0,0,0,0,0,0,0,0,0,0,0,2184.16,0,2184.16
1,3,22,5,0,0,0,0,0,0,0,0,0,0,0,0,726.684,0,726.684
1,3,23,5,0,0,0,0,0,0,0,0,0,0,0,0,727.817,0,727.817
1,3,24,5,0,0,0,0,0,0,0,0,0,0,0,0,729.085,0,729.085
1,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,396.235,0,396.235
1,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,397.231,0,397.231
1,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,398.212,0,398.212
1,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,399.051,0,399.051
1,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,399.913,0,399.913
1,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,400.732,0,400.732
1,4,7,6,0,0,0,0,0,0,0,0,0,0,0,0,401.487,0,401.487
1,4,8,6,0,0,0,0,0,0,0,0,0,0,0,0,402.171,0,402.171
1,4,9,6,7.02967,0,0,0,0,0,0,0,0,0,0,0,402.861,0,402.861
1,4,10,6,11.4265,0,0,0,0,0,0,0,0,0,0,0,403.552,0,403.552
1,4,11,6,16.0038,0,0,0,0,0,0,0,0,0,0,0,404.251,0,404.251
1,4,12,6,18.8309,0,0,0,0,0,0,0,0,0,0,0,404.859,0,404.859
1,4,13,6,18.8374,0,0,0,0,0,0,0,0,0,0,0,405.461,0,405.461
1,4,14,6,16.0297,0,0,0,0,0,0,0,0,0,0,0,405.963,0,405.963
1,4,15,6,11.4685,0,0,0,0,0,0,0,0,0,0,0,406.422,0,406.422
1,4,16,6,4.31523,0,0,0,0,0,0,0,0,0,0,0,406.945,0,406.945
1,4,17,6,0,0,0,0,0,0,0,0,0,0,0,0,407.398,0,407.398
1,4,18,6,0,0,0,0,0,0,0,0,0,0,0,0,408.141,0,408.141
1,4,19,6,0,0,0,0,0,0,0,0,0,0,0,0,408.88,0,408.88
1,4,20,6,0,0,0,0,0,0,0,0,0,0,0,0,409.752,0,409.752
1,4,21,6,0,0,0,0,0,0,0,0,0,0,0,0,410.587,0,410.587
1,4,22,6,0,0,0,0,0,0,0,0,0,0,0,0,411.425,0,411.425
1,4,23,6,0,0,0,0,0,0,0,0,0,0,0,0,412.243,0,412.243
1,4,24,6,0,0,0,0,0,0,0,0,0,0,0,0,413.028,0,413.028
1,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,413.806,0,413.806
1,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,414.57,0,414.57
1,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,415.331,0,415.331
1,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,416.074,0,416.074
1,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,416.799,0,416.799
1,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,417.554,0,417.554
1,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,418.383,0,418.383
1,5,8,7,0.860057,0,0,0,0,0,0,0,0,0,0,0,419.231,0,419.231
1,5,9,7,18.1784,0,0,0,0,0,0,0,0,0,0,0,420.047,0,420.047
1,5,10,7,34.8515,0,0,0,0,0,0,0,0,0,0,0,420.941,0,420.941
1,5,11,7,204.538,0,0,0,0,0,0,0,0,0,0,0,421.812,0,421.812
1,5,12,7,248.688,0,0,0,0,0,0,0,0,0,0,0,422.57,0,422.57
1,5,13,7,232.089,0,0,0,0,0,0,0,0,0,0,0,423.17,0,423.17
1,5,14,7,35.024,0,0,0,0,0,0,0,0,0,0,0,422.211,0,422.211
1,5,15,7,145.71,0,0,0,0,0,0,0,0,0,0,0,421.947,0,421.947
1,5,16,7,87.388,0,0,0,0,0,0,0,0,0,0,0,421.423,0,421.423
1,5,17,7,0,0,0,0,0,0,0,0,0,0,0,0,422.588,0,422.588
1,5,18,7,0,0,0,0,0,0,0,0,0,0,0,0,422.029,0,422.029
1,5,19,7,0,0,0,0,0,0,0,0,0,0,0,0,422.708,0,422.708
1,5,20,7,0,0,0,0,0,0,0,0,0,0,0,0,424.184,0,424.184
1,5,21,7,0,0,0,0,0,0,0,0,0,0,0,0,425.351,0,425.351
1,5,22,7,0,0,0,0,0,0,0,0,0,0,0,0,426.656,0,426.656
1,5,23,7,0,0,0,0,0,0,0,0,0,0,0,0,427.951,0,427.951
1,5,24,7,0,0,0,0,0,0,0,0,0,0,0,0,429.267,0,429.267
1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,764.412,0,764.412
1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,765.695,0,765.695
1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,766.942,0,766.942
1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,768.165,0,768.165
1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,769.48,0,769.48
1,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,770.732,0,770.732
1,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1258.53,0,1258.53
1,6,8,1,14.2212,0,0,0,0,1.67E+06,0,0,0,0,0,0,5070.77,0,1.68E+06
1,6,9,1,103.598,0,0,0,0,1.11E+06,0,0,0,0,0,0,5071.57,0,1.12E+06
1,6,10,1,173.641,0,0,0,0,824923,0,0,0,0,0,0,8863.76,0,833787
1,6,11,1,224.222,0,0,0,0,717391,0,0,0,0,0,0,8851.74,0,726243
1,6,12,1,247.882,0,0,0,0,663478,0,0,0,0,0,0,8848.55,0,672326
1,6,13,1,246.759,0,0,0,0,605037,0,0,0,0,0,0,8846.72,0,613884
1,6,14,1,219.52,0,0,0,0,541477,0,0,0,0,0,0,8845.46,0,550322
1,6,15,1,156.512,0,0,0,0,493438,0,0,0,0,0,0,8844.36,0,502282
1,6,16,1,87.0806,0,0,0,0,499508,0,0,0,0,0,0,6897.22,0,506405
1,6,17,1,0,0,0,0,0,561871,0,0,0,0,0,0,5031.16,0,566902
1,6,18,1,0,0,0,0,0,609636,0,0,0,0,0,0,3084.28,0,612721
1,6,19,1,0,0,0,0,0,0,0,0,0,0,0,0,2191.61,0,2191.61
1,6,20,1,0,0,0,0,0,0,0,0,0,0,0,0,2191.03,0,2191.03
1,6,21,1,0,0,0,0,0,0,0,0,0,0,0,0,2193.81,0,2193.81
1,6,22,1,0,0,0,0,0,0,0,0,0,0,0,0,738.594,0,738.594
1,6,23,1,0,0,0,0,0,0,0,0,0,0,0,0,741.1,0,741.1
1,6,24,1,0,0,0,0,0,0,0,0,0,0,0,0,743.517,0,743.517
1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,745.384,0,745.384
1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,747.019,0,747.019
1,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,748.473,0,748.473
1,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,749.828,0,749.828
1,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,751.117,0,751.117
1,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,752.332,0,752.332
1,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1240.05,0,1240.05
1,7,8,2,14.5009,0,0,0,0,1.37E+06,0,0,0,0,0,0,5052.16,0,1.37E+06
1,7,9,2,103.413,0,0,0,0,741144,0,0,0,0,0,0,5052.93,0,746197
1,7,10,2,179.38,0,0,0,0,548726,0,0,0,0,0,0,8847.81,0,557574
1,7,11,2,218.588,0,0,0,0,484812,0,0,0,0,0,0,8842.47,0,493654
1,7,12,2,251.615,0,0,0,0,435757,0,0,0,0,0,0,8840.26,0,444597
1,7,13,2,234.652,0,0,0,0,388698,0,0,0,0,0,0,8839.16,0,397537
1,7,14,2,77.1181,0,0,0,0,382224,0,0,0,0,0,0,8838.28,0,391062
1,7,15,2,139.956,0,0,0,0,320521,0,0,0,0,0,0,8837.46,0,329358
1,7,16,2,85.8728,0,0,0,0,300299,0,0,0,0,0,0,6890.57,0,307190
1,7,17,2,0,0,0,0,0,386586,0,0,0,0,0,0,5024.98,0,391611
1,7,18,2,0,0,0,0,0,444860,0,0,0,0,0,0,3078.31,0,447938
1,7,19,2,0,0,0,0,0,0,0,0,0,0,0,0,2185.91,0,2185.91
1,7,20,2,0,0,0,0,0,0,0,0,0,0,0,0,2185.61,0,2185.61
1,7,21,2,0,0,0,0,0,0,0,0,0,0,0,0,2187.08,0,2187.08
1,7,22,2,0,0,0,0,0,0,0,0,0,0,0,0,730.59,0,730.59
1,7,23,2,0,0,0,0,0,0,0,0,0,0,0,0,732.276,0,732.276
1,7,24,2,0,0,0,0,0,0,0,0,0,0,0,0,733.983,0,733.983
1,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,735.227,0,735.227
1,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,736.467,0,736.467
1,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,737.436,0,737.436
1,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,738.346,0,738.346
1,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,739.195,0,739.195
1,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,739.996,0,739.996
1,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1227.29,0,1227.29
1,8,8,3,8.93648,0,0,0,0,922352,0,0,0,0,0,0,5038.98,0,927391
1,8,9,3,80.3265,0,0,0,0,465634,0,0,0,0,0,0,5039.31,0,470673
1,8,10,3,60.5582,0,0,0,0,361436,0,0,0,0,0,0,8839.64,0,370276
1,8,11,3,94.9606,0,0,0,0,301488,0,0,0,0,0,0,8836.02,0,310324
1,8,12,3,47.0956,0,0,0,0,312132,0,0,0,0,0,0,8834.51,0,320966
1,8,13,3,95.6934,0,0,0,0,266111,0,0,0,0,0,0,8833.77,0,274945
1,8,14,3,135.503,0,0,0,0,216907,0,0,0,0,0,0,8833.2,0,225740
1,8,15,3,67.6624,0,0,0,0,203172,0,0,0,0,0,0,8832.71,0,212005
1,8,16,3,9.94855,0,0,0,0,240181,0,0,0,0,0,0,6886.1,0,247067
1,8,17,3,0,0,0,0,0,263720,0,0,0,0,0,0,5020.55,0,268740
1,8,18,3,0,0,0,0,0,310951,0,0,0,0,0,0,3074.15,0,314025
1,8,19,3,0,0,0,0,0,0,0,0,0,0,0,0,2181.94,0,2181.94
1,8,20,3,0,0,0,0,0,0,0,0,0,0,0,0,2181.75,0,2181.75
1,8,21,3,0,0,0,0,0,0,0,0,0,0,0,0,2182.3,0,2182.3
1,8,22,3,0,0,0,0,0,0,0,0,0,0,0,0,725.105,0,725.105
1,8,23,3,0,0,0,0,0,0,0,0,0,0,0,0,726.335,0,726.335
1,8,24,3,0,0,0,0,0,0,0,0,0,0,0,0,727.808,0,727.808
1,9,1,4,0,0,0,0,0,0,0,0,0,0,0,0,728.952,0,728.952
1,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,730.015,0,730.015
1,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,730.936,0,730.936
1,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,731.881,0,731.881
1,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,732.754,0,732.754
1,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,733.624,0,733.624
1,9,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1221.03,0,1221.03
1,9,8,4,8.89921,0,0,0,0,808166,0,0,0,0,0,0,5032.82,0,813199
1,9,9,4,79.5895,0,0,0,0,425620,0,0,0,0,0,0,5033.24,0,430653
1,9,10,4,34.7478,0,0,0,0,365531,0,0,0,0,0,0,8835.82,0,374367
1,9,11,4,60.2562,0,0,0,0,337578,0,0,0,0,0,0,8832.76,0,346411
1,9,12,4,235.032,0,0,0,0,271385,0,0,0,0,0,0,8831.59,0,280216
1,9,13,4,239.731,0,0,0,0,247776,0,0,0,0,0,0,8831.09,0,256607
1,9,14,4,148.443,0,0,0,0,208361,0,0,0,0,0,0,8830.7,0,217192
1,9,15,4,147.174,0,0,0,0,177308,0,0,0,0,0,0,8830.24,0,186138
1,9,16,4,16.9554,0,0,0,0,214855,0,0,0,0,0,0,6883.65,0,221738
1,9,17,4,5.20048,0,0,0,0,267015,0,0,0,0,0,0,5018.26,0,272033
1,9,18,4,0,0,0,0,0,327679,0,0,0,0,0,0,3071.89,0,330751
1,9,19,4,0,0,0,0,0,0,0,0,0,0,0,0,2179.97,0,2179.97
1,9,20,4,0,0,0,0,0,0,0,0,0,0,0,0,2179.93,0,2179.93
1,9,21,4,0,0,0,0,0,0,0,0,0,0,0,0,2180.24,0,2180.24
1,9,22,4,0,0,0,0,0,0,0,0,0,0,0,0,723.126,0,723.126
1,9,23,4,0,0,0,0,0,0,0,0,0,0,0,0,724.457,0,724.457
1,9,24,4,0,0,0,0,0,0,0,0,0,0,0,0,726.052,0,726.052
1,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,727.35,0,727.35
1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,728.594,0,728.594
1,10,3,5,0,0,0,0,0,0,0,0,0,0,0,0,729.761,0,729.761
1,10,4,5,0,0,0,0,0,0,0,0,0,0,0,0,730.834,0,730.834
1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,731.838,0,731.838
1,10,6,5,0,0,0,0,0,0,0,0,0,0,0,0,732.839,0,732.839
1,10,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1220.32,0,1220.32
1,10,8,5,3.22984,0,0,0,0,864047,0,0,0,0,0,0,5032.29,0,869079
1,10,9,5,40.4004,0,0,0,0,485594,0,0,0,0,0,0,5032.79,0,490627
1,10,10,5,81.6251,0,0,0,0,371089,0,0,0,0,0,0,8835.28,0,379924
1,10,11,5,104.175,0,0,0,0,332064,0,0,0,0,0,0,8832.14,0,340897
1,10,12,5,118.189,0,0,0,0,306436,0,0,0,0,0,0,8830.99,0,315267
1,10,13,5,120.013,0,0,0,0,278817,0,0,0,0,0,0,8830.47,0,287648
1,10,14,5,101.375,0,0,0,0,247634,0,0,0,0,0,0,8830.11,0,256465
1,10,15,5,70.8024,0,0,0,0,224317,0,0,0,0,0,0,8829.75,0,233146
1,10,16,5,35.9606,0,0,0,0,235564,0,0,0,0,0,0,6883.33,0,242447
1,10,17,5,3.23188,0,0,0,0,268676,0,0,0,0,0,0,5017.95,0,273694
1,10,18,5,0,0,0,0,0,315424,0,0,0,0,0,0,3071.67,0,318496
1,10,19,5,0,0,0,0,0,0,0,0,0,0,0,0,2179.57,0,2179.57
1,10,20,5,0,0,0,0,0,0,0,0,0,0,0,0,2179.48,0,2179.48
1,10,21,5,0,0,0,0,0,0,0,0,0,0,0,0,2179.72,0,2179.72
1,10,22,5,0,0,0,0,0,0,0,0,0,0,0,0,722.619,0,722.619
1,10,23,5,0,0,0,0,0,0,0,0,0,0,0,0,723.767,0,723.767
1,10,24,5,0,0,0,0,0,0,0,0,0,0,0,0,725.265,0,725.265
1,11,1,6,0,0,0,0,0,0,0,0,0,0,0,0,392.514,0,392.514
1,11,2,6,0,0,0,0,0,0,0,0,0,0,0,0,393.655,0,393.655
1,11,3,6,0,0,0,0,0,0,0,0,0,0,0,0,394.726,0,394.726
1,11,4,6,0,0,0,0,0,0,0,0,0,0,0,0,395.765,0,395.765
1,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,396.702,0,396.702
1,11,6,6,0,0,0,0,0,0,0,0,0,0,0,0,397.63,0,397.63
1,11,7,6,0,0,0,0,0,0,0,0,0,0,0,0,398.537,0,398.537
1,11,8,6,2.84646,0,0,0,0,0,0,0,0,0,0,0,399.407,0,399.407
1,11,9,6,39.806,0,0,0,0,0,0,0,0,0,0,0,400.294,0,400.294
1,11,10,6,81.5066,0,0,0,0,0,0,0,0,0,0,0,401.169,0,401.169
1,11,11,6,107.426,0,0,0,0,0,0,0,0,0,0,0,401.968,0,401.968
1,11,12,6,121.175,0,0,0,0,0,0,0,0,0,0,0,402.349,0,402.349
1,11,13,6,119.686,0,0,0,0,0,0,0,0,0,0,0,402.408,0,402.408
1,11,14,6,104.584,0,0,0,0,0,0,0,0,0,0,0,402.521,0,402.521
1,11,15,6,77.0462,0,0,0,0,0,0,0,0,0,0,0,402.399,0,402.399
1,11,16,6,34.5663,0,0,0,0,0,0,0,0,0,0,0,402.377,0,402.377
1,11,17,6,2.04693,0,0,0,0,0,0,0,0,0,0,0,402.436,0,402.436
1,11,18,6,0,0,0,0,0,0,0,0,0,0,0,0,402.632,0,402.632
1,11,19,6,0,0,0,0,0,0,0,0,0,0,0,0,403.128,0,403.128
1,11,20,6,0,0,0,0,0,0,0,0,0,0,0,0,403.923,0,403.923
1,11,21,6,0,0,0,0,0,0,0,0,0,0,0,0,404.691,0,404.691
1,11,22,6,0,0,0,0,0,0,0,0,0,0,0,0,405.434,0,405.434
1,11,23,6,0,0,0,0,0,0,0,0,0,0,0,0,406.141,0,406.141
1,11,24,6,0,0,0,0,0,0,0,0,0,0,0,0,406.811,0,406.811
1,12,1,7,0,0,0,0,0,0,0,0,0,0,0,0,407.459,0,407.459
1,12,2,7,0,0,0,0,0,0,0,0,0,0,0,0,407.98,0,407.98
1,12,3,7,0,0,0,0,0,0,0,0,0,0,0,0,408.523,0,408.523
1,12,4,7,0,0,0,0,0,0,0,0,0,0,0,0,409.047,0,409.047
1,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,409.588,0,409.588
1,12,6,7,0,0,0,0,0,0,0,0,0,0,0,0,410.128,0,410.128
1,12,7,7,0,0,0,0,0,0,0,0,0,0,0,0,410.751,0,410.751
1,12,8,7,2.83523,0,0,0,0,0,0,0,0,0,0,0,411.359,0,411.359
1,12,9,7,39.7375,0,0,0,0,0,0,0,0,0,0,0,412.099,0,412.099
1,12,10,7,78.0858,0,0,0,0,0,0,0,0,0,0,0,412.746,0,412.746
1,12,11,7,107.231,0,0,0,0,0,0,0,0,0,0,0,413.375,0,413.375
1,12,12,7,127.818,0,0,0,0,0,0,0,0,0,0,0,413.523,0,413.523
1,12,13,7,216.574,0,0,0,0,0,0,0,0,0,0,0,413.543,0,413.543
1,12,14,7,211.34,0,0,0,0,0,0,0,0,0,0,0,413.45,0,413.45
1,12,15,7,136.722,0,0,0,0,0,0,0,0,0,0,0,413.337,0,413.337
