C:\Users\Kingsley E. Nweye\Documents\eQUEST 3-65 Projects\Project 3\Project 3 - Baseline Design,,,,,,,,,,,,,,,,,
Simulated:  2020-Nov-09 07:28:43,,,,,,,,,,,,,,,,,
CSV Written:  2020-Nov-09 07:28:43,,,,,,,,,,,,,,,,,
eQUEST 3.65.7175,,,,,,,,,,,,,,,,,
,,,,Hourly Report,,,,,,,,,,,,,
,,,,EM1 Hourly Report Block,FM1 Hourly Report Block,,,,,,,,,,,,
,,,,EXTERIOR-WALL,FUEL-METER,,,,,,,,,,,,
,,,,EL1 Roof (T.16.E17),FM1,,,,,,,,,,,,
,,,Day,Var 1,Var 1,Var 2,Var 3,Var 4,Var 5,Var 6,Var 7,Var 8,Var 9,Var 10,Var 11,Var 12,Var 20
Month,Day,Hour,Type,Total solar rad on wall after shading (Btu/Hr-Ft2),Lighting end-use energy,Task lighting end-use energy,Miscellaneous equipment end-use energy,Heating end-use energy,Cooling end-use energy,Heat rejection end-use energy,Auxiliary end-use energy (pumps),Vent fan end-use energy,Refrigeration systems end-use energy,Supplemental heat pump end-use energy,Domestic hot water end-use energy,Exterior to the building end-use energy,Total end-use energy
1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,443.27,0,443.27
1,1,2,8,0,0,0,0,0,0,0,0,0,0,0,443.663,0,443.663
1,1,3,8,0,0,0,0,0,0,0,0,0,0,0,444.212,0,444.212
1,1,4,8,0,0,0,0,0,0,0,0,0,0,0,444.843,0,444.843
1,1,5,8,0,0,0,0,0,0,0,0,0,0,0,445.396,0,445.396
1,1,6,8,0,0,0,0,0,0,0,0,0,0,0,445.959,0,445.959
1,1,7,8,0,0,0,0,0,0,0,0,0,0,0,446.47,0,446.47
1,1,8,8,2.35342,0,0,0,0,0,0,0,0,0,0,446.981,0,446.981
1,1,9,8,29.9336,0,0,0,0,0,0,0,0,0,0,447.441,0,447.441
1,1,10,8,45.1548,0,0,0,0,0,0,0,0,0,0,447.81,0,447.81
1,1,11,8,56.5329,0,0,0,0,0,0,0,0,0,0,448.155,0,448.155
1,1,12,8,41.6203,0,0,0,0,0,0,0,0,0,0,448.081,0,448.081
1,1,13,8,42.7885,0,0,0,0,0,0,0,0,0,0,447.88,0,447.88
1,1,14,8,24.0575,0,0,0,0,0,0,0,0,0,0,447.663,0,447.663
1,1,15,8,12.0817,0,0,0,0,0,0,0,0,0,0,447.477,0,447.477
1,1,16,8,6.52605,0,0,0,0,0,0,0,0,0,0,447.163,0,447.163
1,1,17,8,0,0,0,0,0,0,0,0,0,0,0,447.141,0,447.141
1,1,18,8,0,0,0,0,0,0,0,0,0,0,0,447.17,0,447.17
1,1,19,8,0,0,0,0,0,0,0,0,0,0,0,447.209,0,447.209
1,1,20,8,0,0,0,0,0,0,0,0,0,0,0,447.34,0,447.34
1,1,21,8,0,0,0,0,0,0,0,0,0,0,0,447.415,0,447.415
1,1,22,8,0,0,0,0,0,0,0,0,0,0,0,447.463,0,447.463
1,1,23,8,0,0,0,0,0,0,0,0,0,0,0,447.437,0,447.437
1,1,24,8,0,0,0,0,0,0,0,0,0,0,0,447.46,0,447.46
1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,781.324,0,781.324
1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,781.334,0,781.334
1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,781.201,0,781.201
1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,781.106,0,781.106
1,2,5,4,0,0,0,0,0,0,0,0,0,0,0,781.003,0,781.003
1,2,6,4,0,0,0,0,0,0,0,0,0,0,0,781.001,0,781.001
1,2,7,4,0,0,0,0,0,0,0,0,0,0,0,1267.56,0,1267.56
1,2,8,4,0,0,0,0,1.51E+06,0,0,0,0,0,0,5078.61,0,1.51E+06
1,2,9,4,4.74875,0,0,0,853145,0,0,0,0,0,0,5078.27,0,858224
1,2,10,4,75.8935,0,0,0,587078,0,0,0,0,0,0,8866.96,0,595945
1,2,11,4,162.459,0,0,0,434431,0,0,0,0,0,0,8857.62,0,443289
1,2,12,4,18.6325,0,0,0,424082,0,0,0,0,0,0,8854.24,0,432936
1,2,13,4,17.7846,0,0,0,376303,0,0,0,0,0,0,8852.04,0,385155
1,2,14,4,11.4348,0,0,0,337062,0,0,0,0,0,0,8850.4,0,345913
1,2,15,4,7.9978,0,0,0,297371,0,0,0,0,0,0,8848.95,0,306220
1,2,16,4,2.76255,0,0,0,263730,0,0,0,0,0,0,6901.48,0,270631
1,2,17,4,0,0,0,0,242210,0,0,0,0,0,0,5035.21,0,247245
1,2,18,4,0,0,0,0,258750,0,0,0,0,0,0,3087.95,0,261838
1,2,19,4,0,0,0,0,0,0,0,0,0,0,0,2194.89,0,2194.89
1,2,20,4,0,0,0,0,0,0,0,0,0,0,0,2193.91,0,2193.91
1,2,21,4,0,0,0,0,0,0,0,0,0,0,0,2196.6,0,2196.6
1,2,22,4,0,0,0,0,0,0,0,0,0,0,0,738.305,0,738.305
1,2,23,4,0,0,0,0,0,0,0,0,0,0,0,739.553,0,739.553
1,2,24,4,0,0,0,0,0,0,0,0,0,0,0,740.151,0,740.151
1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,740.728,0,740.728
1,3,2,5,0,0,0,0,0,0,0,0,0,0,0,741.124,0,741.124
1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,741.463,0,741.463
1,3,4,5,0,0,0,0,0,0,0,0,0,0,0,741.784,0,741.784
1,3,5,5,0,0,0,0,0,0,0,0,0,0,0,742.088,0,742.088
1,3,6,5,0,0,0,0,0,0,0,0,0,0,0,742.419,0,742.419
1,3,7,5,0,0,0,0,0,0,0,0,0,0,0,1229.24,0,1229.24
1,3,8,5,3.14437,0,0,0,719091,0,0,0,0,0,0,5040.59,0,724132
1,3,9,5,30.745,0,0,0,354760,0,0,0,0,0,0,5040.5,0,359800
1,3,10,5,118.04,0,0,0,224741,0,0,0,0,0,0,8841.71,0,233582
1,3,11,5,21.838,0,0,0,232390,0,0,0,0,0,0,8838.49,0,241229
1,3,12,5,51.4345,0,0,0,209848,0,0,0,0,0,0,8836.99,0,218685
1,3,13,5,13.5972,0,0,0,212029,0,0,0,0,0,0,8836.11,0,220865
1,3,14,5,11.4288,0,0,0,193181,0,0,0,0,0,0,8835.43,0,202016
1,3,15,5,11.1873,0,0,0,199511,0,0,0,0,0,0,8834.79,0,208346
1,3,16,5,2.75933,0,0,0,200135,0,0,0,0,0,0,6888.09,0,207023
1,3,17,5,0,0,0,0,232011,0,0,0,0,0,0,5022.54,0,237033
1,3,18,5,0,0,0,0,294615,0,0,0,0,0,0,3076.02,0,297692
1,3,19,5,0,0,0,0,0,0,0,0,0,0,0,2183.7,0,2183.7
1,3,20,5,0,0,0,0,0,0,0,0,0,0,0,2183.43,0,2183.43
1,3,21,5,0,0,0,0,0,0,0,0,0,0,0,2184.16,0,2184.16
1,3,22,5,0,0,0,0,0,0,0,0,0,0,0,726.687,0,726.687
1,3,23,5,0,0,0,0,0,0,0,0,0,0,0,727.833,0,727.833
1,3,24,5,0,0,0,0,0,0,0,0,0,0,0,729.106,0,729.106
1,4,1,6,0,0,0,0,0,0,0,0,0,0,0,396.261,0,396.261
1,4,2,6,0,0,0,0,0,0,0,0,0,0,0,397.258,0,397.258
1,4,3,6,0,0,0,0,0,0,0,0,0,0,0,398.242,0,398.242
1,4,4,6,0,0,0,0,0,0,0,0,0,0,0,399.081,0,399.081
1,4,5,6,0,0,0,0,0,0,0,0,0,0,0,399.945,0,399.945
1,4,6,6,0,0,0,0,0,0,0,0,0,0,0,400.766,0,400.766
1,4,7,6,0,0,0,0,0,0,0,0,0,0,0,401.521,0,401.521
1,4,8,6,0,0,0,0,0,0,0,0,0,0,0,402.207,0,402.207
1,4,9,6,4.75136,0,0,0,0,0,0,0,0,0,0,402.898,0,402.898
1,4,10,6,7.91784,0,0,0,0,0,0,0,0,0,0,403.59,0,403.59
1,4,11,6,11.3841,0,0,0,0,0,0,0,0,0,0,404.289,0,404.289
1,4,12,6,13.5819,0,0,0,0,0,0,0,0,0,0,404.898,0,404.898
1,4,13,6,13.5922,0,0,0,0,0,0,0,0,0,0,405.501,0,405.501
1,4,14,6,11.4226,0,0,0,0,0,0,0,0,0,0,406.004,0,406.004
1,4,15,6,7.98257,0,0,0,0,0,0,0,0,0,0,406.464,0,406.464
1,4,16,6,2.75629,0,0,0,0,0,0,0,0,0,0,406.988,0,406.988
1,4,17,6,0,0,0,0,0,0,0,0,0,0,0,407.442,0,407.442
1,4,18,6,0,0,0,0,0,0,0,0,0,0,0,408.186,0,408.186
1,4,19,6,0,0,0,0,0,0,0,0,0,0,0,408.926,0,408.926
1,4,20,6,0,0,0,0,0,0,0,0,0,0,0,409.799,0,409.799
1,4,21,6,0,0,0,0,0,0,0,0,0,0,0,410.636,0,410.636
1,4,22,6,0,0,0,0,0,0,0,0,0,0,0,411.476,0,411.476
1,4,23,6,0,0,0,0,0,0,0,0,0,0,0,412.294,0,412.294
1,4,24,6,0,0,0,0,0,0,0,0,0,0,0,413.081,0,413.081
1,5,1,7,0,0,0,0,0,0,0,0,0,0,0,413.86,0,413.86
1,5,2,7,0,0,0,0,0,0,0,0,0,0,0,414.625,0,414.625
1,5,3,7,0,0,0,0,0,0,0,0,0,0,0,415.387,0,415.387
1,5,4,7,0,0,0,0,0,0,0,0,0,0,0,416.132,0,416.132
1,5,5,7,0,0,0,0,0,0,0,0,0,0,0,416.859,0,416.859
1,5,6,7,0,0,0,0,0,0,0,0,0,0,0,417.617,0,417.617
1,5,7,7,0,0,0,0,0,0,0,0,0,0,0,418.447,0,418.447
1,5,8,7,0.491701,0,0,0,0,0,0,0,0,0,0,419.297,0,419.297
1,5,9,7,14.7779,0,0,0,0,0,0,0,0,0,0,420.115,0,420.115
1,5,10,7,29.1163,0,0,0,0,0,0,0,0,0,0,421.01,0,421.01
1,5,11,7,245.066,0,0,0,0,0,0,0,0,0,0,421.884,0,421.884
1,5,12,7,302.62,0,0,0,0,0,0,0,0,0,0,422.643,0,422.643
1,5,13,7,275.633,0,0,0,0,0,0,0,0,0,0,423.245,0,423.245
1,5,14,7,28.0483,0,0,0,0,0,0,0,0,0,0,422.287,0,422.287
1,5,15,7,182.602,0,0,0,0,0,0,0,0,0,0,422.025,0,422.025
1,5,16,7,123.651,0,0,0,0,0,0,0,0,0,0,421.504,0,421.504
1,5,17,7,0,0,0,0,0,0,0,0,0,0,0,422.674,0,422.674
1,5,18,7,0,0,0,0,0,0,0,0,0,0,0,422.117,0,422.117
1,5,19,7,0,0,0,0,0,0,0,0,0,0,0,422.8,0,422.8
1,5,20,7,0,0,0,0,0,0,0,0,0,0,0,424.28,0,424.28
1,5,21,7,0,0,0,0,0,0,0,0,0,0,0,425.449,0,425.449
1,5,22,7,0,0,0,0,0,0,0,0,0,0,0,426.756,0,426.756
1,5,23,7,0,0,0,0,0,0,0,0,0,0,0,428.053,0,428.053
1,5,24,7,0,0,0,0,0,0,0,0,0,0,0,429.372,0,429.372
1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,764.519,0,764.519
1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,765.805,0,765.805
1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,767.057,0,767.057
1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,768.282,0,768.282
1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,769.599,0,769.599
1,6,6,1,0,0,0,0,0,0,0,0,0,0,0,770.854,0,770.854
1,6,7,1,0,0,0,0,0,0,0,0,0,0,0,1258.65,0,1258.65
1,6,8,1,24.0018,0,0,0,1.68E+06,0,0,0,0,0,0,5070.9,0,1.68E+06
1,6,9,1,141.41,0,0,0,1.11E+06,0,0,0,0,0,0,5071.7,0,1.12E+06
1,6,10,1,221.539,0,0,0,826663,0,0,0,0,0,0,8863.88,0,835527
1,6,11,1,277.062,0,0,0,718774,0,0,0,0,0,0,8851.81,0,727626
1,6,12,1,301.156,0,0,0,664672,0,0,0,0,0,0,8848.61,0,673520
1,6,13,1,300.209,0,0,0,606255,0,0,0,0,0,0,8846.78,0,615101
1,6,14,1,272.08,0,0,0,542633,0,0,0,0,0,0,8845.51,0,551478
1,6,15,1,202.048,0,0,0,494575,0,0,0,0,0,0,8844.41,0,503419
1,6,16,1,122.965,0,0,0,500650,0,0,0,0,0,0,6897.27,0,507547
1,6,17,1,0,0,0,0,562999,0,0,0,0,0,0,5031.21,0,568030
1,6,18,1,0,0,0,0,610704,0,0,0,0,0,0,3084.32,0,613789
1,6,19,1,0,0,0,0,0,0,0,0,0,0,0,2191.65,0,2191.65
1,6,20,1,0,0,0,0,0,0,0,0,0,0,0,2191.07,0,2191.07
1,6,21,1,0,0,0,0,0,0,0,0,0,0,0,2193.86,0,2193.86
1,6,22,1,0,0,0,0,0,0,0,0,0,0,0,738.658,0,738.658
1,6,23,1,0,0,0,0,0,0,0,0,0,0,0,741.174,0,741.174
1,6,24,1,0,0,0,0,0,0,0,0,0,0,0,743.597,0,743.597
1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,745.473,0,745.473
1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,747.113,0,747.113
1,7,3,2,0,0,0,0,0,0,0,0,0,0,0,748.577,0,748.577
1,7,4,2,0,0,0,0,0,0,0,0,0,0,0,749.937,0,749.937
1,7,5,2,0,0,0,0,0,0,0,0,0,0,0,751.234,0,751.234
1,7,6,2,0,0,0,0,0,0,0,0,0,0,0,752.454,0,752.454
1,7,7,2,0,0,0,0,0,0,0,0,0,0,0,1240.18,0,1240.18
1,7,8,2,24.4535,0,0,0,1.37E+06,0,0,0,0,0,0,5052.29,0,1.37E+06
1,7,9,2,141.017,0,0,0,743590,0,0,0,0,0,0,5053.07,0,748643
1,7,10,2,228.656,0,0,0,550855,0,0,0,0,0,0,8847.89,0,559703
1,7,11,2,269.204,0,0,0,486762,0,0,0,0,0,0,8842.52,0,495605
1,7,12,2,305.569,0,0,0,437309,0,0,0,0,0,0,8840.31,0,446149
1,7,13,2,277.992,0,0,0,390270,0,0,0,0,0,0,8839.21,0,399109
1,7,14,2,83.5917,0,0,0,383950,0,0,0,0,0,0,8838.33,0,392788
1,7,15,2,174.217,0,0,0,322053,0,0,0,0,0,0,8837.51,0,330890
1,7,16,2,120.733,0,0,0,301834,0,0,0,0,0,0,6890.61,0,308725
1,7,17,2,0,0,0,0,388427,0,0,0,0,0,0,5025.02,0,393452
1,7,18,2,0,0,0,0,446811,0,0,0,0,0,0,3078.35,0,449890
1,7,19,2,0,0,0,0,0,0,0,0,0,0,0,2185.95,0,2185.95
1,7,20,2,0,0,0,0,0,0,0,0,0,0,0,2185.64,0,2185.64
1,7,21,2,0,0,0,0,0,0,0,0,0,0,0,2187.15,0,2187.15
1,7,22,2,0,0,0,0,0,0,0,0,0,0,0,730.672,0,730.672
1,7,23,2,0,0,0,0,0,0,0,0,0,0,0,732.372,0,732.372
1,7,24,2,0,0,0,0,0,0,0,0,0,0,0,734.089,0,734.089
1,8,1,3,0,0,0,0,0,0,0,0,0,0,0,735.34,0,735.34
1,8,2,3,0,0,0,0,0,0,0,0,0,0,0,736.586,0,736.586
1,8,3,3,0,0,0,0,0,0,0,0,0,0,0,737.562,0,737.562
1,8,4,3,0,0,0,0,0,0,0,0,0,0,0,738.479,0,738.479
1,8,5,3,0,0,0,0,0,0,0,0,0,0,0,739.332,0,739.332
1,8,6,3,0,0,0,0,0,0,0,0,0,0,0,740.136,0,740.136
1,8,7,3,0,0,0,0,0,0,0,0,0,0,0,1227.43,0,1227.43
1,8,8,3,14.8063,0,0,0,927191,0,0,0,0,0,0,5039.13,0,932230
1,8,9,3,100.577,0,0,0,468581,0,0,0,0,0,0,5039.47,0,473620
1,8,10,3,62.9096,0,0,0,363972,0,0,0,0,0,0,8839.73,0,372812
1,8,11,3,99.6781,0,0,0,303740,0,0,0,0,0,0,8836.08,0,312577
1,8,12,3,38.7172,0,0,0,314434,0,0,0,0,0,0,8834.56,0,323269
1,8,13,3,98.2229,0,0,0,276446,0,0,0,0,0,0,8833.83,0,285280
1,8,14,3,155.899,0,0,0,223260,0,0,0,0,0,0,8833.25,0,232093
1,8,15,3,74.8833,0,0,0,208875,0,0,0,0,0,0,8832.78,0,217708
1,8,16,3,7.19411,0,0,0,244519,0,0,0,0,0,0,6886.17,0,251405
1,8,17,3,0,0,0,0,267221,0,0,0,0,0,0,5020.61,0,272242
1,8,18,3,0,0,0,0,313788,0,0,0,0,0,0,3074.2,0,316862
1,8,19,3,0,0,0,0,0,0,0,0,0,0,0,2181.99,0,2181.99
1,8,20,3,0,0,0,0,0,0,0,0,0,0,0,2181.8,0,2181.8
1,8,21,3,0,0,0,0,0,0,0,0,0,0,0,2182.39,0,2182.39
1,8,22,3,0,0,0,0,0,0,0,0,0,0,0,725.212,0,725.212
1,8,23,3,0,0,0,0,0,0,0,0,0,0,0,726.453,0,726.453
1,8,24,3,0,0,0,0,0,0,0,0,0,0,0,727.932,0,727.932
1,9,1,4,0,0,0,0,0,0,0,0,0,0,0,729.08,0,729.08
1,9,2,4,0,0,0,0,0,0,0,0,0,0,0,730.146,0,730.146
1,9,3,4,0,0,0,0,0,0,0,0,0,0,0,731.071,0,731.071
1,9,4,4,0,0,0,0,0,0,0,0,0,0,0,732.018,0,732.018
1,9,5,4,0,0,0,0,0,0,0,0,0,0,0,732.892,0,732.892
1,9,6,4,0,0,0,0,0,0,0,0,0,0,0,733.764,0,733.764
1,9,7,4,0,0,0,0,0,0,0,0,0,0,0,1221.17,0,1221.17
1,9,8,4,14.7302,0,0,0,811908,0,0,0,0,0,0,5032.97,0,816941
1,9,9,4,99.2471,0,0,0,427744,0,0,0,0,0,0,5033.39,0,432777
1,9,10,4,28.893,0,0,0,367172,0,0,0,0,0,0,8835.9,0,376008
1,9,11,4,56.1741,0,0,0,339081,0,0,0,0,0,0,8832.83,0,347914
1,9,12,4,276.593,0,0,0,272545,0,0,0,0,0,0,8831.65,0,281376
1,9,13,4,285.42,0,0,0,248992,0,0,0,0,0,0,8831.15,0,257823
1,9,14,4,171.567,0,0,0,209551,0,0,0,0,0,0,8830.75,0,218382
1,9,15,4,181.141,0,0,0,178545,0,0,0,0,0,0,8830.29,0,187376
1,9,16,4,14.4669,0,0,0,216679,0,0,0,0,0,0,6883.69,0,223563
1,9,17,4,8.74267,0,0,0,268869,0,0,0,0,0,0,5018.3,0,273887
1,9,18,4,0,0,0,0,329486,0,0,0,0,0,0,3071.93,0,332558
1,9,19,4,0,0,0,0,0,0,0,0,0,0,0,2180.02,0,2180.02
1,9,20,4,0,0,0,0,0,0,0,0,0,0,0,2179.97,0,2179.97
1,9,21,4,0,0,0,0,0,0,0,0,0,0,0,2180.32,0,2180.32
1,9,22,4,0,0,0,0,0,0,0,0,0,0,0,723.23,0,723.23
1,9,23,4,0,0,0,0,0,0,0,0,0,0,0,724.586,0,724.586
1,9,24,4,0,0,0,0,0,0,0,0,0,0,0,726.198,0,726.198
1,10,1,5,0,0,0,0,0,0,0,0,0,0,0,727.51,0,727.51
1,10,2,5,0,0,0,0,0,0,0,0,0,0,0,728.769,0,728.769
1,10,3,5,0,0,0,0,0,0,0,0,0,0,0,729.938,0,729.938
1,10,4,5,0,0,0,0,0,0,0,0,0,0,0,731.016,0,731.016
1,10,5,5,0,0,0,0,0,0,0,0,0,0,0,732.021,0,732.021
1,10,6,5,0,0,0,0,0,0,0,0,0,0,0,733.027,0,733.027
1,10,7,5,0,0,0,0,0,0,0,0,0,0,0,1220.52,0,1220.52
1,10,8,5,5.23084,0,0,0,869362,0,0,0,0,0,0,5032.48,0,874395
1,10,9,5,46.2603,0,0,0,488560,0,0,0,0,0,0,5032.99,0,493593
1,10,10,5,90.3408,0,0,0,373326,0,0,0,0,0,0,8835.39,0,382161
1,10,11,5,110.018,0,0,0,334063,0,0,0,0,0,0,8832.22,0,342895
1,10,12,5,123.862,0,0,0,308245,0,0,0,0,0,0,8831.06,0,317076
1,10,13,5,126.076,0,0,0,280460,0,0,0,0,0,0,8830.54,0,289290
1,10,14,5,107.099,0,0,0,249298,0,0,0,0,0,0,8830.17,0,258128
1,10,15,5,75.596,0,0,0,225884,0,0,0,0,0,0,8829.81,0,234714
1,10,16,5,41.61,0,0,0,237256,0,0,0,0,0,0,6883.39,0,244139
1,10,17,5,5.26109,0,0,0,270274,0,0,0,0,0,0,5018,0,275292
1,10,18,5,0,0,0,0,316968,0,0,0,0,0,0,3071.73,0,320039
1,10,19,5,0,0,0,0,0,0,0,0,0,0,0,2179.62,0,2179.62
1,10,20,5,0,0,0,0,0,0,0,0,0,0,0,2179.53,0,2179.53
1,10,21,5,0,0,0,0,0,0,0,0,0,0,0,2179.8,0,2179.8
1,10,22,5,0,0,0,0,0,0,0,0,0,0,0,722.705,0,722.705
1,10,23,5,0,0,0,0,0,0,0,0,0,0,0,723.864,0,723.864
1,10,24,5,0,0,0,0,0,0,0,0,0,0,0,725.366,0,725.366
1,11,1,6,0,0,0,0,0,0,0,0,0,0,0,392.62,0,392.62
1,11,2,6,0,0,0,0,0,0,0,0,0,0,0,393.764,0,393.764
1,11,3,6,0,0,0,0,0,0,0,0,0,0,0,394.837,0,394.837
1,11,4,6,0,0,0,0,0,0,0,0,0,0,0,395.878,0,395.878
1,11,5,6,0,0,0,0,0,0,0,0,0,0,0,396.818,0,396.818
1,11,6,6,0,0,0,0,0,0,0,0,0,0,0,397.748,0,397.748
1,11,7,6,0,0,0,0,0,0,0,0,0,0,0,398.656,0,398.656
1,11,8,6,4.45043,0,0,0,0,0,0,0,0,0,0,399.527,0,399.527
1,11,9,6,45.2325,0,0,0,0,0,0,0,0,0,0,400.416,0,400.416
1,11,10,6,90.0596,0,0,0,0,0,0,0,0,0,0,401.291,0,401.291
1,11,11,6,113.711,0,0,0,0,0,0,0,0,0,0,402.091,0,402.091
1,11,12,6,127.105,0,0,0,0,0,0,0,0,0,0,402.473,0,402.473
1,11,13,6,125.475,0,0,0,0,0,0,0,0,0,0,402.533,0,402.533
1,11,14,6,110.7,0,0,0,0,0,0,0,0,0,0,402.648,0,402.648
1,11,15,6,85.0389,0,0,0,0,0,0,0,0,0,0,402.527,0,402.527
1,11,16,6,39.1984,0,0,0,0,0,0,0,0,0,0,402.505,0,402.505
1,11,17,6,3.05772,0,0,0,0,0,0,0,0,0,0,402.565,0,402.565
1,11,18,6,0,0,0,0,0,0,0,0,0,0,0,402.762,0,402.762
1,11,19,6,0,0,0,0,0,0,0,0,0,0,0,403.258,0,403.258
1,11,20,6,0,0,0,0,0,0,0,0,0,0,0,404.054,0,404.054
1,11,21,6,0,0,0,0,0,0,0,0,0,0,0,404.821,0,404.821
1,11,22,6,0,0,0,0,0,0,0,0,0,0,0,405.565,0,405.565
1,11,23,6,0,0,0,0,0,0,0,0,0,0,0,406.273,0,406.273
1,11,24,6,0,0,0,0,0,0,0,0,0,0,0,406.943,0,406.943
1,12,1,7,0,0,0,0,0,0,0,0,0,0,0,407.592,0,407.592
1,12,2,7,0,0,0,0,0,0,0,0,0,0,0,408.113,0,408.113
1,12,3,7,0,0,0,0,0,0,0,0,0,0,0,408.656,0,408.656
1,12,4,7,0,0,0,0,0,0,0,0,0,0,0,409.182,0,409.182
1,12,5,7,0,0,0,0,0,0,0,0,0,0,0,409.725,0,409.725
1,12,6,7,0,0,0,0,0,0,0,0,0,0,0,410.266,0,410.266
1,12,7,7,0,0,0,0,0,0,0,0,0,0,0,410.89,0,410.89
1,12,8,7,4.42697,0,0,0,0,0,0,0,0,0,0,411.501,0,411.501
1,12,9,7,45.0607,0,0,0,0,0,0,0,0,0,0,412.242,0,412.242
1,12,10,7,83.6743,0,0,0,0,0,0,0,0,0,0,412.889,0,412.889
1,12,11,7,113.291,0,0,0,0,0,0,0,0,0,0,413.52,0,413.52
1,12,12,7,138.365,0,0,0,0,0,0,0,0,0,0,413.668,0,413.668
1,12,13,7,254.763,0,0,0,0,0,0,0,0,0,0,413.689,0,413.689
1,12,14,7,256.474,0,0,0,0,0,0,0,0,0,0,413.597,0,413.597
1,12,15,7,169.502,0,0,0,0,0,0,0,0,0,0,413.485,0,413.485
1,12,16,7,117.507,0,0,0,0,0,0,0,0,0,0,412.803,0,412.803
1,12,17,7,18.3006,0,0,0,0,0,0,0,0,0,0,412.308,0,412.308
1,12,18,7,0,0,0,0,0,0,0,0,0,0,0,412.22,0,412.22
1,12,19,7,0,0,0,0,0,0,0,0,0,0,0,412.311,0,412.311
1,12,20,7,0,0,0,0,0,0,0,0,0,0,0,413.367,0,413.367
1,12,21,7,0,0,0,0,0,0,0,0,0,0,0,414.268,0,414.268
1,12,22,7,0,0,0,0,0,0,0,0,0,0,0,415.182,0,415.182
1,12,23,7,0,0,0,0,0,0,0,0,0,0,0,416.004,0,416.004
1,12,24,7,0,0,0,0,0,0,0,0,0,0,0,416.757,0,416.757
1,13,1,1,0,0,0,0,0,0,0,0,0,0,0,751.336,0,751.336
1,13,2,1,0,0,0,0,0,0,0,0,0,0,0,751.929,0,751.929
1,13,3,1,0,0,0,0,0,0,0,0,0,0,0,752.364,0,752.364
1,13,4,1,0,0,0,0,0,0,0,0,0,0,0,752.787,0,752.787
1,13,5,1,0,0,0,0,0,0,0,0,0,0,0,753.252,0,753.252
1,13,6,1,0,0,0,0,0,0,0,0,0,0,0,753.698,0,753.698
