Time,THERMAL ZONE 1:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,6.197316E+03,1.133036E+03,3.212655E-01,1.122255E-01,7.469498E+02,1.787289E+02,3.874154E-02,1.769617E-02,2.611217E+03,1.237841E+01,1.048658E-01,7.876119E-04,7.678094E+02,1.823332E+02,3.982348E-02,1.805303E-02,7.414135E+02,1.760372E+02,3.845437E-02,1.742966E-02,2.253924E+03,4.363811E+02,1.168694E-01,4.321596E-02,7.285635E+02,1.733905E+02,3.778783E-02,1.716762E-02,4.088438E+03,8.932003E+02,2.120026E-01,8.845316E-02,3.704806E+03,7.527118E+02,1.920791E-01,7.454953E-02,4.102104E+03,7.545397E+02,2.126754E-01,7.473014E-02
00:20:00,6.207372E+03,1.095124E+03,3.217870E-01,1.084702E-01,7.484279E+02,1.737753E+02,3.881822E-02,1.720573E-02,2.613071E+03,7.121153E+00,1.049403E-01,4.530964E-04,7.692834E+02,1.771401E+02,3.989995E-02,1.753887E-02,7.428813E+02,1.710968E+02,3.853052E-02,1.694052E-02,2.257637E+03,4.229609E+02,1.170621E-01,4.188693E-02,7.300329E+02,1.685387E+02,3.786406E-02,1.668726E-02,4.096755E+03,8.672923E+02,2.124339E-01,8.588756E-02,3.711146E+03,7.311550E+02,1.924079E-01,7.241453E-02,4.108843E+03,7.305089E+02,2.130249E-01,7.235008E-02
00:30:00,6.217430E+03,1.057860E+03,3.223085E-01,1.047790E-01,7.499054E+02,1.688754E+02,3.889486E-02,1.672059E-02,2.614837E+03,3.376696E+00,1.050112E-01,2.148450E-04,7.707581E+02,1.720086E+02,3.997645E-02,1.703081E-02,7.443494E+02,1.662107E+02,3.860667E-02,1.645676E-02,2.261351E+03,4.097269E+02,1.172546E-01,4.057629E-02,7.315024E+02,1.637390E+02,3.794028E-02,1.621203E-02,4.105063E+03,8.416830E+02,2.128648E-01,8.335147E-02,3.717473E+03,7.098663E+02,1.927360E-01,7.030601E-02,4.115583E+03,7.068284E+02,2.133744E-01,7.000464E-02
00:40:00,6.227491E+03,1.021233E+03,3.228300E-01,1.011508E-01,7.513826E+02,1.640293E+02,3.897148E-02,1.624077E-02,2.616521E+03,1.023910E+00,1.050789E-01,6.514603E-05,7.722337E+02,1.669386E+02,4.005298E-02,1.652883E-02,7.458179E+02,1.613792E+02,3.868283E-02,1.597838E-02,2.265066E+03,3.966780E+02,1.174472E-01,3.928396E-02,7.329721E+02,1.589915E+02,3.801651E-02,1.574198E-02,4.113363E+03,8.163597E+02,2.132952E-01,8.084359E-02,3.723790E+03,6.888296E+02,1.930635E-01,6.822236E-02,4.122323E+03,6.834948E+02,2.137239E-01,6.769346E-02
00:50:00,6.237553E+03,9.852325E+02,3.233516E-01,9.758453E-02,7.528595E+02,1.592371E+02,3.904808E-02,1.576627E-02,2.618127E+03,0.000000E+00,1.051434E-01,0.000000E+00,7.737099E+02,1.619300E+02,4.012955E-02,1.603290E-02,7.472866E+02,1.566022E+02,3.875901E-02,1.550539E-02,2.268781E+03,3.838127E+02,1.176399E-01,3.800977E-02,7.344420E+02,1.542964E+02,3.809275E-02,1.527710E-02,4.121655E+03,7.913091E+02,2.137252E-01,7.836268E-02,3.730095E+03,6.680288E+02,1.933904E-01,6.616203E-02,4.129065E+03,6.605033E+02,2.140734E-01,6.541612E-02
01:00:00,6.247618E+03,9.498471E+02,3.238733E-01,9.407917E-02,7.543362E+02,1.544989E+02,3.912467E-02,1.529713E-02,2.619659E+03,0.000000E+00,1.052049E-01,0.000000E+00,7.751868E+02,1.569826E+02,4.020615E-02,1.554304E-02,7.487556E+02,1.518799E+02,3.883520E-02,1.503782E-02,2.272496E+03,3.711297E+02,1.178325E-01,3.675363E-02,7.359120E+02,1.496539E+02,3.816900E-02,1.481742E-02,4.129941E+03,7.665211E+02,2.141548E-01,7.590774E-02,3.736390E+03,6.474506E+02,1.937167E-01,6.412373E-02,4.135809E+03,6.378506E+02,2.144229E-01,6.317231E-02
01:10:00,6.248637E+03,9.242213E+02,3.239260E-01,9.154049E-02,7.544951E+02,1.511399E+02,3.913291E-02,1.496454E-02,2.621121E+03,0.000000E+00,1.052636E-01,0.000000E+00,7.753349E+02,1.534333E+02,4.021383E-02,1.519161E-02,7.489073E+02,1.485373E+02,3.884307E-02,1.470685E-02,2.272880E+03,3.619949E+02,1.178524E-01,3.584887E-02,7.360648E+02,1.463891E+02,3.817692E-02,1.449416E-02,4.130935E+03,7.493249E+02,2.142063E-01,7.420461E-02,3.737236E+03,6.325814E+02,1.937605E-01,6.265085E-02,4.136500E+03,6.216528E+02,2.144588E-01,6.156780E-02
01:20:00,6.249656E+03,8.992957E+02,3.239791E-01,8.907173E-02,7.546539E+02,1.478428E+02,3.914116E-02,1.463811E-02,2.622517E+03,0.000000E+00,1.053197E-01,0.000000E+00,7.754836E+02,1.499528E+02,4.022156E-02,1.484703E-02,7.490593E+02,1.452573E+02,3.885097E-02,1.438212E-02,2.273263E+03,3.530746E+02,1.178723E-01,3.496553E-02,7.362178E+02,1.431849E+02,3.818487E-02,1.417693E-02,4.131922E+03,7.324309E+02,2.142577E-01,7.253176E-02,3.738072E+03,6.179765E+02,1.938040E-01,6.120446E-02,4.137192E+03,6.058537E+02,2.144948E-01,6.000313E-02
01:30:00,6.250676E+03,8.750655E+02,3.240321E-01,8.667175E-02,7.548122E+02,1.446073E+02,3.914939E-02,1.431779E-02,2.623851E+03,0.000000E+00,1.053733E-01,0.000000E+00,7.756326E+02,1.465408E+02,4.022929E-02,1.450923E-02,7.492114E+02,1.420397E+02,3.885887E-02,1.406357E-02,2.273647E+03,3.443677E+02,1.178923E-01,3.410329E-02,7.363707E+02,1.400411E+02,3.819281E-02,1.386569E-02,4.132903E+03,7.158449E+02,2.143086E-01,7.088935E-02,3.738899E+03,6.036419E+02,1.938470E-01,5.978478E-02,4.137884E+03,5.904518E+02,2.145307E-01,5.847773E-02
01:40:00,6.251698E+03,8.515275E+02,3.240851E-01,8.434023E-02,7.549703E+02,1.414342E+02,3.915759E-02,1.400362E-02,2.625126E+03,0.000000E+00,1.054245E-01,0.000000E+00,7.757820E+02,1.431980E+02,4.023704E-02,1.417826E-02,7.493635E+02,1.388852E+02,3.886676E-02,1.375124E-02,2.274031E+03,3.358750E+02,1.179122E-01,3.326223E-02,7.365237E+02,1.369586E+02,3.820075E-02,1.356049E-02,4.133878E+03,6.995774E+02,2.143592E-01,6.927839E-02,3.739718E+03,5.895890E+02,1.938894E-01,5.839294E-02,4.138577E+03,5.754479E+02,2.145667E-01,5.699169E-02
